"","country","neet_male","relative_wc_male","mismatch_male","workingpov_male","underemp_male","informal_male","elementary_male","nosecondary_male","literacy_male","test_scores_male","country_code","transition_mean_male","working_conditions_mean_male","education_mean_male","transition_geom_male","working_conditions_geom_male","education_geom_male","index_mean_male","index_geom_male","neet_female","relative_wc_female","mismatch_female","workingpov_female","underemp_female","informal_female","elementary_female","nosecondary_female","literacy_female","test_scores_female","transition_mean_female","working_conditions_mean_female","education_mean_female","transition_geom_female","working_conditions_geom_female","education_geom_female","index_mean_female","index_geom_female","neet","relative_wc","mismatch","workingpov","underemp","informal","elementary","nosecondary","literacy","test_scores","transition_mean","working_conditions_mean","education_mean","transition_geom","working_conditions_geom","education_geom","index_mean","index_geom"
"1","Ukraine",86.54,78.6792142509446,92.0280321877375,99.985691216,99.73,NA,NA,NA,99.95707,59.0769230769231,"UKR",85.7490821462273,99.857845608,79.5169965384615,85.5721309096675,99.8577637691316,76.8450137314362,88.3746414308963,86.9180468251971,80.35,91.4371513871493,96.2450455376434,99.984028317,99.73,NA,87.9068684239996,NA,99.98272,57.8461538461538,89.3440656415976,95.8736322469999,78.9144369230769,89.090005080733,95.7031912062185,76.0500874626513,88.0440449372248,86.5535809218803,83.53,84.3567838415976,94.5287488298768,99.984990353,99.73,NA,90.6103565289779,NA,99.96976,58.4615384615385,87.4718442238248,96.775115627326,79.2156492307692,87.3324146735379,96.6746976389869,76.448583827503,87.8208696939733,86.420991601558
"2","Kyrgyzstan",88.0071,100,NA,99.645086893,97.5066,20,62.6171396942549,99.8,99.69,35.0769230769231,"KGZ",94.00355,69.9422066468137,78.1889743589744,93.8120994328557,59.0613379572248,70.4046281756799,80.7115770019294,73.0669728822737,70.5839,75.8212783034172,NA,99.745051419,92.5104,36.3,69.439581271771,99.4,99.81,38.7692307692308,73.2025891517086,74.4987581726928,79.3264102564103,73.1557347419912,69.4462675112054,72.7248009719966,75.6759191936039,71.7562843642415,79.4612,92.5639601900211,NA,99.675475466,95.998,25.3,64.677291056867,99.6,99.75,36.9230769230769,86.0125800950105,71.4126916307167,78.7576923076923,85.7627154039056,62.904354620842,71.5852219702544,78.7276546778065,72.8228273926352
"3","Nepal",78.4584,94.6461346665004,79.8894308617222,94.707315857,91.8843,7.40000000000001,72.9696289398829,85,94.03428,NA,"NPL",84.3313218427409,66.7403111992207,89.51714,84.0253929654471,46.5585744275243,89.403097261784,80.1962576806539,70.4564781022661,53.4331,83.9573046112294,98.0068267212892,93.22559041,88.6324,8.40000000000001,79.4376289647746,75.6,90.88347,NA,78.4657437775062,67.4239048436936,83.241735,76.039933569431,48.4571985500687,82.8902306185717,76.3771278737333,67.3443439472836,64.6511,89.1542299715346,87.8224210496555,93.920108054,90.6545,7.8,75.4157305135525,80.3,92.39381,21.2307692307692,80.54258367373,66.9475846418881,64.6415264102564,79.6968382690242,47.3070779868377,54.0059218670731,70.7105649086248,58.8305443241952
"4","Algeria",89.06,89.1368800646363,NA,99.848716339,80.43,NA,NA,NA,97.59406,20.3076923076923,"DZA",89.0984400323181,90.1393581695,58.9508761538462,89.0984317401632,89.6149108973823,44.51864936786,79.3962247852214,70.8376435502805,68.31,100,NA,99.905157893,73.59,NA,NA,NA,97.25216,25.5384615384615,84.155,86.7475789465,61.3953107692308,82.6498638837355,85.7439243873633,49.8364379514859,77.4326299052436,70.6855808344899,79.05,92.748930377619,NA,99.855700262,79.56,NA,NA,NA,97.42652,22.7692307692308,85.8994651888095,89.707850131,60.0978753846154,85.625947856656,89.1320341563274,47.0991180057873,78.568396901475,71.1023565547666
"5","Mongolia",83.7133,77.7630216901428,90.8081129840333,99.788427928,99.3641,37.3,89.8143441753404,NA,98.19,41.5384615384615,"MNG",84.0948115580587,81.5667180258351,69.8642307692308,83.9261718068351,75.917352565442,63.8643996171696,78.5085867843749,74.1024273179222,78.4676,17.1523973072063,76.1363023416214,99.826926358,98.6157,50.2,NA,NA,99.08,41.2307692307692,57.2520998829426,82.8808754526667,70.1553846153846,46.7953097256194,79.0616413381462,63.9151360429172,70.0961199836646,61.8382641334841,81.1159,96.0801184863731,84.3522824445611,99.803292266,99.0827,42,91.3209399255552,NA,98.63,41.5384615384615,87.182766976978,83.0517330478888,70.0842307692308,86.9518419849164,78.4766744390399,64.0073313108621,80.1062435980325,75.8722621028802
"6","Cambodia",89.737,90.3981413605861,85.9871463411057,89.4126839,99.4555,2.59999999999999,79.0389458202665,64.3,91.86412,NA,"KHM",88.7074292338973,67.6267824300666,78.08206,88.6859579231103,36.767204096811,76.8561182730432,78.1387572213213,63.0470307213373,99.9023,99.110994848497,91.5379690014422,91.225102091,99.5643,2.7,87.7802225754264,62.8,92.57328,NA,96.8504212833131,70.3174061666066,77.68664,96.7756725622719,38.304042550089,76.2469801631514,81.6181558166399,65.6262848181554,99.9374,97.2020665663967,91.6934023240879,90.260862595,99.507,2.59999999999999,83.0938923067714,63.55,92.21236,46.7692307692308,96.2776229634949,68.8654387254428,67.5105302564102,96.2159807037436,37.3227719222211,64.9563539528879,77.551197315116,61.5574914998795
"7","Moldova, Republic of",69.35,76.3264413976041,88.956535365247,99.976899443,97.4049,68.9,77.4650068522502,NA,99.8067,38.4615384615385,"MDA",78.2109922542837,85.9367015738126,69.1341192307692,77.797644262294,84.9085283314561,61.9573985151832,77.7606043529552,74.2455299425399,75.17,NA,NA,99.971540193,98.2014,77.4,90.1715838591095,NA,99.81553,44.9230769230769,NA,91.4361310130274,72.3693034615385,NA,90.9810993619219,66.9628309759055,NA,NA,72.17,94.462454490607,93.4203776042663,99.973151086,97.7533,72.8,83.1342655798029,NA,99.81101,41.8461538461538,86.6842773649578,88.4151791664507,70.8285819230769,86.0371171212977,87.69635909521,64.6274468008755,81.9760128181618,78.7096782818363
"8","Haiti",87.3232,100,77.8431891164515,92.81932412,86.2525,NA,NA,68.4,83.3535,11.3846153846154,"HTI",88.3887963721505,89.53591206,54.3793717948718,87.925886168967,89.4756880591611,40.1882814515851,77.4346934090074,68.1250883714088,76.3293,100,85.3273289781106,87.87836089,91.9712,NA,NA,68.7,82.63483,16.9230769230769,87.2188763260369,89.924780445,56.085968974359,86.6815117367644,89.901492229475,45.8000973573118,77.7432085817986,70.9338054549961,81.8097,100,80.8927378767688,90.956466202,88.3208,NA,NA,68.55,82.99425,13.8461538461538,87.5674792922563,89.638633101,55.1301346153846,87.1441246015707,89.6289454369156,42.8675048370659,77.445415669547,69.4392254480805
"9","Zimbabwe",88.8451,84.2626342453243,NA,76.81995329,83.2052,4.8,87.3590324545272,75.7,87.59186,NA,"ZWE",86.5538671226621,63.0460464361318,81.64593,86.523535328772,40.4616314635857,81.4291336193626,77.0819478529313,65.814131328316,78.2305,95.2013565634901,NA,79.12885429,79.8006,2.3,87.866994789945,77.8,93.18835,NA,86.715928281745,62.2741122699863,85.494175,86.2997666546098,33.6103984336231,85.1472467552533,78.1614051839104,62.7409798961407,83.4388,90.3841429494311,NA,77.89334308,81.5588,3.59999999999999,87.5996198257347,76.75,90.42812,29.5384615384615,86.9114714747155,62.6629407264337,65.5721938461539,86.8420659975855,37.6221814124602,58.9644048484831,71.715535349101,57.7547905457896
"10","Viet Nam",88.0128,35.2528674188295,87.7911222257128,97.912402337,99.6363,18.3,53.8482011034157,NA,98.46012,65.8461538461538,"VNM",70.3522632148474,67.4242258601039,82.1531369230769,64.8231744945693,55.6825860391173,80.5184463910648,73.3098753326761,66.2391920046933,82.5842,46.5461829343279,85.0939809695105,97.46369225,99.7327,34.2,65.1911919556288,NA,98.35314,68.9230769230769,71.4081213012795,74.1468960514072,83.6381084615385,68.9011747582653,68.229763523359,82.3334745643967,76.3977086047417,72.8773063436055,85.42,50.1702443581487,87.0063648557545,97.709776864,99.6789,25.6,59.1543081956324,NA,98.4081,67.3846153846154,74.1988697379677,70.5357462649081,82.8963576923077,71.9756511426794,61.9714846704994,81.4321310615827,75.8769912317278,71.3495274663419
