"","country","neet","relative_wc","mismatch","workingpov","underemp","informal","elementary","nosecondary","literacy","test_scores","country_code","transition_mean","working_conditions_mean","education_mean","transition_geom","working_conditions_geom","education_geom","index_mean","index_geom"
"1","Ukraine",83.53,84.3567838415976,94.5287488298768,99.984990353,99.73,29.5150943396226,90.6103565289779,90.4301216389245,99.96976,58.4615384615385,"UKR",87.4718442238248,79.9601103054001,82.9538067001543,87.3324146735379,71.861397833071,80.8507404242921,83.4619204097931,79.7599813021516
"2","Moldova, Republic of",72.17,94.462454490607,93.4203776042663,99.973151086,97.7533,72.8,83.1342655798029,78.9498079385403,99.81101,41.8461538461538,"MDA",86.6842773649578,88.4151791664507,73.5356572615647,86.0371171212977,87.69635909521,69.0867917137764,82.8783712643244,80.4799095051468
"3","Mongolia",81.1159,96.0801184863731,84.3522824445611,99.803292266,99.0827,42,91.3209399255552,77.2453158344003,98.63,41.5384615384615,"MNG",87.182766976978,83.0517330478888,72.4712591242873,86.9518419849164,78.4766744390399,68.1465485199453,80.9019197163847,77.4737207747955
"4","Kyrgyzstan",79.4612,92.5639601900211,82.1345377528055,99.675475466,95.998,25.3,64.677291056867,99.6,99.75,36.9230769230769,"KGZ",84.7198993142755,71.4126916307167,78.7576923076923,84.5358559777998,62.904354620842,71.5852219702544,78.2967610842282,72.4739080226076
"5","Cambodia",99.9374,97.2020665663967,91.6934023240879,90.260862595,99.507,2.59999999999999,83.0938923067714,63.55,92.21236,46.7692307692308,"KHM",96.2776229634949,68.8654387254428,67.5105302564102,96.2159807037436,37.3227719222211,64.9563539528879,77.551197315116,61.5574914998795
"6","Viet Nam",85.42,50.1702443581487,87.0063648557545,97.709776864,99.6789,25.6,59.1543081956324,78.6584507042253,98.4081,67.3846153846154,"VNM",74.1988697379677,70.5357462649081,81.4837220296136,71.9756511426794,61.9714846704994,80.4968704528764,75.4061126774965,71.0753215563627
"7","Philippines",80.1098,94.303654092443,84.6864189639487,96.47179909,89.3,25.2,59.4385694661886,76.2691047801963,99.0826,33.5384615384615,"PHL",86.3666243521305,67.6025921390471,69.6300554395526,86.167331943404,59.9349547079654,63.2843601381043,74.5330906435768,68.8821044326187
"8","Sri Lanka",75.2778,84.8413252817685,81.321468072864,99.683583194,97.0357,21.1,76.7590163823227,68.5860221937687,98.78194,30.7692307692308,"LKA",80.4801977848775,73.6445748940807,66.0457309876665,80.3821942892515,62.9131977400921,59.293888896841,73.3901678888749,66.9325212028162
"9","Tunisia",74.7832,93.4843501921474,87.2687799981065,99.932326075,96.7560221405676,16.9,67.2515811048836,64.1960307298335,96.2091,25.8461538461538,"TUN",85.1787767300847,70.2099823301128,62.0837615253291,84.8139495753987,57.5762401806899,54.2467117391448,72.4908401951755,64.2236034042412
"10","Algeria",79.05,92.748930377619,82.1869781277405,99.855700262,79.56,7.72385629361592,84.5427964826141,63.6727912932138,97.42652,22.7692307692308,"DZA",84.6619695017865,67.9205882595575,61.2895140208149,84.4639262655322,47.7248538977911,52.0786613717034,71.2906905940529,59.4326682590881
"11","Zimbabwe",83.4388,90.3841429494311,82.3871281585742,77.89334308,81.5588,3.59999999999999,87.5996198257347,76.75,90.42812,29.5384615384615,"ZWE",85.4033570360018,62.6629407264337,65.5721938461539,85.3309445104248,37.6221814124602,58.9644048484831,71.2128305361964,57.417835290523
"12","Nepal",64.6511,89.1542299715346,87.8224210496555,93.920108054,90.6545,7.8,75.4157305135525,80.3,92.39381,21.2307692307692,"NPL",80.54258367373,66.9475846418881,64.6415264102564,79.6968382690242,47.3070779868377,54.0059218670731,70.7105649086248,58.8305443241952
"13","Occupied Palestinian Territory",66.593,67.9248658838882,81.2936079059067,99.708225913,96.807,14.1,68.7691621782027,76.9201877934272,99.33625,34.4615384615385,"PSE",71.9371579299316,69.8460970228007,70.2393254183219,71.6425863962578,55.3111450338362,64.0955068570022,70.6741934570181,63.3291750092499
"14","Nicaragua",98.5808,71.5300982208037,84.3207721319666,90.155704405,70.6566,14.4,83.1130579777261,63.1916133162612,91.57178,28.3076923076923,"NIC",84.8105567842567,64.5813405956815,61.0236952079845,84.0888819501816,52.546576347786,54.7152668888013,70.1385308626409,62.2965278683171
"15","Haiti",81.8097,100,80.8927378767688,90.956466202,88.3208,6.86704574825537,83.1010403274554,68.55,82.99425,13.8461538461538,"HTI",87.5674792922563,67.3113380694277,55.1301346153846,87.1441246015707,46.2719970548461,42.8675048370659,70.0029839923562,55.7050865819153
"16","El Salvador",72.8514,77.3776579389262,81.5996136562971,99.220381854,93.5504,23.8,63.5212813158604,61.4436459667094,97.97372,19.0769230769231,"SLV",77.2762238650744,70.0230157924651,59.4980963478775,77.1934637037173,61.2048287957116,48.6069422672613,68.932445335139,61.2380715426395
