ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Afghanistan,"Youth time-related underemployment by sex, age and rural / urban areas (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Youth bands): Total (15-29),Area type: National,2008,3163.754,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Youth time-related underemployment by sex, age and rural / urban areas (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Youth bands): 15-19,Area type: National,2008,972.26,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Youth time-related underemployment by sex, age and rural / urban areas (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Youth bands): 20-24,Area type: National,2008,1106.579,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Youth time-related underemployment by sex, age and rural / urban areas (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Youth bands): 25-29,Area type: National,2008,1084.915,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Youth time-related underemployment by sex, age and rural / urban areas (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Youth bands): Total (15-29),Area type: National,2008,2081.439,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Youth time-related underemployment by sex, age and rural / urban areas (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Youth bands): 15-19,Area type: National,2008,662.151,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Youth time-related underemployment by sex, age and rural / urban areas (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Youth bands): 20-24,Area type: National,2008,747.337,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Youth time-related underemployment by sex, age and rural / urban areas (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Youth bands): 25-29,Area type: National,2008,671.951,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Youth time-related underemployment by sex, age and rural / urban areas (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Youth bands): Total (15-29),Area type: National,2008,1082.315,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Youth time-related underemployment by sex, age and rural / urban areas (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Youth bands): 15-19,Area type: National,2008,310.109,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Youth time-related underemployment by sex, age and rural / urban areas (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Youth bands): 20-24,Area type: National,2008,359.242,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Youth time-related underemployment by sex, age and rural / urban areas (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Youth bands): 25-29,Area type: National,2008,412.964,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Youth time-related underemployment by sex, age and rural / urban areas (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Youth bands): Total (15-29),Area type: National,2017,2883.694,,,Repository: ILO-STATISTICS - Micro data processing
