ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,"Unemployment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): Total,Education (ISCED-11): X. No schooling,2017,385.452,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Unemployment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): Total,Education (ISCED-11): 0. Early childhood education,2017,,Unreliable,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Unemployment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): Total,Education (ISCED-11): 1. Primary education,2017,108.639,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Unemployment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): Total,Education (ISCED-11): 2. Lower secondary education,2017,76.641,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Unemployment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): Total,Education (ISCED-11): 3. Upper secondary education,2017,144.286,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Unemployment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): Total,Education (ISCED-11): 6. Bachelor's or equivalent level,2017,57.847,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Unemployment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): Total,Education (ISCED-11): 7. Master's or equivalent level,2017,27.923,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Unemployment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): Total,Education (ISCED-11): 8. Doctoral or equivalent level,2017,2.114,Unreliable,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Unemployment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): Total,Education (ISCED-11): 9. Not elsewhere classified,2017,1.388,Unreliable,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Unemployment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Aggregate bands): Total,Education (ISCED-11): X. No schooling,2017,269.995,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
