ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): Total,2017,1837.696,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): X. No schooling,2017,861.393,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): 0. Early childhood education,2017,1.819,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): 1. Primary education,2017,304.954,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): 2. Lower secondary education,2017,247.159,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): 3. Upper secondary education,2017,316.214,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): 6. Bachelor's or equivalent level,2017,79.557,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): 7. Master's or equivalent level,2017,22.666,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): 8. Doctoral or equivalent level,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): 9. Not elsewhere classified,2017,3.351,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Aggregate bands): 15-24,Education (ISCED-11): Total,2017,1396.065,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Aggregate bands): 15-24,Education (ISCED-11): X. No schooling,2017,568.183,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Aggregate bands): 15-24,Education (ISCED-11): 0. Early childhood education,2017,1.63,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Aggregate bands): 15-24,Education (ISCED-11): 1. Primary education,2017,252.355,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Aggregate bands): 15-24,Education (ISCED-11): 2. Lower secondary education,2017,216.39,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Aggregate bands): 15-24,Education (ISCED-11): 3. Upper secondary education,2017,278.983,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Aggregate bands): 15-24,Education (ISCED-11): 6. Bachelor's or equivalent level,2017,58.212,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Aggregate bands): 15-24,Education (ISCED-11): 7. Master's or equivalent level,2017,17.819,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Aggregate bands): 15-24,Education (ISCED-11): 8. Doctoral or equivalent level,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Aggregate bands): 15-24,Education (ISCED-11): 9. Not elsewhere classified,2017,2.346,,,,Repository: ILO-STATISTICS - Micro data processing
