ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): Total,2017,2229.507,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): X. No schooling,2017,977.966,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): 0. Early childhood education,2017,2.255,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): 1. Primary education,2017,363.874,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): 2. Lower secondary education,2017,300.377,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): 3. Upper secondary education,2017,422.026,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): 6. Bachelor's or equivalent level,2017,122.276,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): 7. Master's or equivalent level,2017,35.837,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): 8. Doctoral or equivalent level,2017,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,Age (Aggregate bands): 15-24,Education (ISCED-11): 9. Not elsewhere classified,2017,3.921,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Aggregate bands): 15-24,Education (ISCED-11): Total,2017,1667.645,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Aggregate bands): 15-24,Education (ISCED-11): X. No schooling,2017,645.644,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Aggregate bands): 15-24,Education (ISCED-11): 0. Early childhood education,2017,2.066,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Aggregate bands): 15-24,Education (ISCED-11): 1. Primary education,2017,294.77,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,Age (Aggregate bands): 15-24,Education (ISCED-11): 2. Lower secondary education,2017,257.405,,,,Repository: ILO-STATISTICS - Micro data processing
