"SDG_IND","Indicator","LOCATION2017","Country","TIME","Time","Value","Flag Codes","Flags"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","CHN","China","2010","2010",99.59304,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","CHN","China","2018","2018",99.78338,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","THA","Thailand","2010","2010",96.55204,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","THA","Thailand","2013","2013",98.65491,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","THA","Thailand","2015","2015",98.29299,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","THA","Thailand","2018","2018",98.59393,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PAN","Panama","2010","2010",97.63853,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PAN","Panama","2018","2018",99.09909,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","MKD","North Macedonia","2014","2014",98.76,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","TZA","United Republic of Tanzania","2010","2010",74.56052,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","TZA","United Republic of Tanzania","2012","2012",85.94,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","TZA","United Republic of Tanzania","2015","2015",85.75514,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SVN","Slovenia","2014","2014",99.79,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","WSM","Samoa","2011","2011",99.23566,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","WSM","Samoa","2018","2018",99.12348,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","SEN","Senegal","2011","2011",58.99902,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","SEN","Senegal","2013","2013",50.96893,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","SEN","Senegal","2017","2017",63.50271,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","GEO","Georgia","2014","2014",99.70261,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","GEO","Georgia","2017","2017",99.64081,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","MNE","Montenegro","2011","2011",99.21182,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","MNE","Montenegro","2018","2018",99.11,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","DZA","Algeria","2018","2018",97.25216,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MLT","Malta","2011","2011",99.38657,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MLT","Malta","2018","2018",99.56088,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KWT","Kuwait","2010","2010",99.06282,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KWT","Kuwait","2012","2012",98.73638,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KWT","Kuwait","2013","2013",99.25229,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KWT","Kuwait","2015","2015",99.15068,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KWT","Kuwait","2017","2017",99.05684,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KWT","Kuwait","2018","2018",98.77679,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","ZMB","Zambia","2010","2010",91.19563,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","ZMB","Zambia","2018","2018",92.55964,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","DOM","Dominican Republic","2010","2010",96.80575,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","DOM","Dominican Republic","2011","2011",97.04205,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","DOM","Dominican Republic","2012","2012",97.02389,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","DOM","Dominican Republic","2013","2013",97.47243,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","DOM","Dominican Republic","2014","2014",97.68853,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","DOM","Dominican Republic","2015","2015",97.61406,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","DOM","Dominican Republic","2016","2016",98.83941,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","UZB","Uzbekistan","2013","2013",100,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","UZB","Uzbekistan","2014","2014",99.99996,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","UZB","Uzbekistan","2015","2015",99.99996,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","UZB","Uzbekistan","2016","2016",100,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","UZB","Uzbekistan","2018","2018",99.99996,,
