ref_area,indicator,source,time,obs_value
AFG,GDP_211P_NOC_NB,XA:2198,1991,9225.4
AFG,GDP_211P_NOC_NB,XA:2198,1992,8580.97
AFG,GDP_211P_NOC_NB,XA:2198,1993,5893.72
AFG,GDP_211P_NOC_NB,XA:2198,1994,4240.12
AFG,GDP_211P_NOC_NB,XA:2198,1995,5976.46
AFG,GDP_211P_NOC_NB,XA:2198,1996,5472.62
AFG,GDP_211P_NOC_NB,XA:2198,1997,5090.31
AFG,GDP_211P_NOC_NB,XA:2198,1998,4793.38
AFG,GDP_211P_NOC_NB,XA:2198,1999,4484.76
AFG,GDP_211P_NOC_NB,XA:2198,2000,4125.83
AFG,GDP_211P_NOC_NB,XA:2198,2001,3727.59
AFG,GDP_211P_NOC_NB,XA:2198,2002,5844.21
AFG,GDP_211P_NOC_NB,XA:2198,2003,6021.59
AFG,GDP_211P_NOC_NB,XA:2198,2004,5796.19
AFG,GDP_211P_NOC_NB,XA:2198,2005,6155.93
AFG,GDP_211P_NOC_NB,XA:2198,2006,6316.78
AFG,GDP_211P_NOC_NB,XA:2198,2007,7042.87
AFG,GDP_211P_NOC_NB,XA:2198,2008,7188.91
AFG,GDP_211P_NOC_NB,XA:2198,2009,8585.84
AFG,GDP_211P_NOC_NB,XA:2198,2010,9573.25
AFG,GDP_211P_NOC_NB,XA:2198,2011,9219.15
AFG,GDP_211P_NOC_NB,XA:2198,2012,9909.71
AFG,GDP_211P_NOC_NB,XA:2198,2013,9942.5
AFG,GDP_211P_NOC_NB,XA:2198,2014,9696.7
AFG,GDP_211P_NOC_NB,XA:2198,2015,9364.98
AFG,GDP_211P_NOC_NB,XA:2198,2016,9178.07
AFG,GDP_211P_NOC_NB,XA:2198,2017,9048.35
AFG,GDP_211P_NOC_NB,XA:2198,2018,8871.19
AFG,GDP_211P_NOC_NB,XA:2198,2019,8793.78
AGO,GDP_211P_NOC_NB,XA:2010,1991,14322.89
AGO,GDP_211P_NOC_NB,XA:2010,1992,13063.75
AGO,GDP_211P_NOC_NB,XA:2010,1993,9600.63
AGO,GDP_211P_NOC_NB,XA:2010,1994,9420.61
AGO,GDP_211P_NOC_NB,XA:2010,1995,10493.11
AGO,GDP_211P_NOC_NB,XA:2010,1996,11553.26
AGO,GDP_211P_NOC_NB,XA:2010,1997,12002.19
AGO,GDP_211P_NOC_NB,XA:2010,1998,12157.79
AGO,GDP_211P_NOC_NB,XA:2010,1999,12013.08
AGO,GDP_211P_NOC_NB,XA:2010,2000,11961.16
AGO,GDP_211P_NOC_NB,XA:2010,2001,12060.01
AGO,GDP_211P_NOC_NB,XA:2010,2002,13269.21
AGO,GDP_211P_NOC_NB,XA:2010,2003,13202.3
AGO,GDP_211P_NOC_NB,XA:2010,2004,14142.92
AGO,GDP_211P_NOC_NB,XA:2010,2005,15695.11
AGO,GDP_211P_NOC_NB,XA:2010,2006,16888.34
AGO,GDP_211P_NOC_NB,XA:2010,2007,18560.49
AGO,GDP_211P_NOC_NB,XA:2010,2008,19881.72
AGO,GDP_211P_NOC_NB,XA:2010,2009,19336.48
AGO,GDP_211P_NOC_NB,XA:2010,2010,20749.45
AGO,GDP_211P_NOC_NB,XA:2010,2011,20249.59
AGO,GDP_211P_NOC_NB,XA:2010,2012,21210.54
AGO,GDP_211P_NOC_NB,XA:2010,2013,21476.75
AGO,GDP_211P_NOC_NB,XA:2010,2014,21704.6
AGO,GDP_211P_NOC_NB,XA:2010,2015,21126.17
AGO,GDP_211P_NOC_NB,XA:2010,2016,19855.02
AGO,GDP_211P_NOC_NB,XA:2010,2017,19124.85
AGO,GDP_211P_NOC_NB,XA:2010,2018,18079.39
AGO,GDP_211P_NOC_NB,XA:2010,2019,17296.5
ALB,GDP_211P_NOC_NB,XA:2137,1991,9162.68
ALB,GDP_211P_NOC_NB,XA:2137,1992,8547.87
ALB,GDP_211P_NOC_NB,XA:2137,1993,9729.11
ALB,GDP_211P_NOC_NB,XA:2137,1994,10910.05
ALB,GDP_211P_NOC_NB,XA:2137,1995,12843.89
ALB,GDP_211P_NOC_NB,XA:2137,1996,14174
ALB,GDP_211P_NOC_NB,XA:2137,1997,12268.19
ALB,GDP_211P_NOC_NB,XA:2137,1998,13398.75
ALB,GDP_211P_NOC_NB,XA:2137,1999,15281.54
ALB,GDP_211P_NOC_NB,XA:2137,2000,16365.2
ALB,GDP_211P_NOC_NB,XA:2137,2001,17865.37
ALB,GDP_211P_NOC_NB,XA:2137,2002,18750.53
ALB,GDP_211P_NOC_NB,XA:2137,2003,19961.31
ALB,GDP_211P_NOC_NB,XA:2137,2004,21264.5
ALB,GDP_211P_NOC_NB,XA:2137,2005,22682.09
ALB,GDP_211P_NOC_NB,XA:2137,2006,24208.01
ALB,GDP_211P_NOC_NB,XA:2137,2007,25908.55
ALB,GDP_211P_NOC_NB,XA:2137,2008,27278.63
ALB,GDP_211P_NOC_NB,XA:2137,2009,28666.98
ALB,GDP_211P_NOC_NB,XA:2137,2010,29990.27
ALB,GDP_211P_NOC_NB,XA:2137,2011,27399.25
ALB,GDP_211P_NOC_NB,XA:2137,2012,29067.19
ALB,GDP_211P_NOC_NB,XA:2137,2013,32283.9
ALB,GDP_211P_NOC_NB,XA:2137,2014,33438.92
ALB,GDP_211P_NOC_NB,XA:2137,2015,32265.92
ALB,GDP_211P_NOC_NB,XA:2137,2016,31992.09
ALB,GDP_211P_NOC_NB,XA:2137,2017,32125.85
ALB,GDP_211P_NOC_NB,XA:2137,2018,31574.07
ALB,GDP_211P_NOC_NB,XA:2137,2019,31356.37
ARE,GDP_211P_NOC_NB,XA:1978,1991,212139.17
ARE,GDP_211P_NOC_NB,XA:1978,1992,203379.34
ARE,GDP_211P_NOC_NB,XA:1978,1993,190669.56
ARE,GDP_211P_NOC_NB,XA:1978,1994,189837.37
ARE,GDP_211P_NOC_NB,XA:1978,1995,189447.35
ARE,GDP_211P_NOC_NB,XA:1978,1996,191057.25
ARE,GDP_211P_NOC_NB,XA:1978,1997,195952.09
ARE,GDP_211P_NOC_NB,XA:1978,1998,185490.64
ARE,GDP_211P_NOC_NB,XA:1978,1999,179564.05
ARE,GDP_211P_NOC_NB,XA:1978,2000,186644.87
ARE,GDP_211P_NOC_NB,XA:1978,2001,176206.63
ARE,GDP_211P_NOC_NB,XA:1978,2002,167560.13
ARE,GDP_211P_NOC_NB,XA:1978,2003,166601.96
ARE,GDP_211P_NOC_NB,XA:1978,2004,161926.4
ARE,GDP_211P_NOC_NB,XA:1978,2005,146256.71
ARE,GDP_211P_NOC_NB,XA:1978,2006,135280.67
ARE,GDP_211P_NOC_NB,XA:1978,2007,116278.9
ARE,GDP_211P_NOC_NB,XA:1978,2008,101380.58
ARE,GDP_211P_NOC_NB,XA:1978,2009,83777.21
ARE,GDP_211P_NOC_NB,XA:1978,2010,77311.11
ARE,GDP_211P_NOC_NB,XA:1978,2011,79278.59
ARE,GDP_211P_NOC_NB,XA:1978,2012,81401.22
ARE,GDP_211P_NOC_NB,XA:1978,2013,85345.14
ARE,GDP_211P_NOC_NB,XA:1978,2014,89092.14
ARE,GDP_211P_NOC_NB,XA:1978,2015,93145.32
ARE,GDP_211P_NOC_NB,XA:1978,2016,95760.74
ARE,GDP_211P_NOC_NB,XA:1978,2017,97933.33
ARE,GDP_211P_NOC_NB,XA:1978,2018,97723.56
ARE,GDP_211P_NOC_NB,XA:1978,2019,98205.44
ARG,GDP_211P_NOC_NB,XA:1868,1991,38354.71
ARG,GDP_211P_NOC_NB,XA:1868,1992,40964.13
ARG,GDP_211P_NOC_NB,XA:1868,1993,45182.59
ARG,GDP_211P_NOC_NB,XA:1868,1994,47772.91
ARG,GDP_211P_NOC_NB,XA:1868,1995,49870.9
ARG,GDP_211P_NOC_NB,XA:1868,1996,50553.07
ARG,GDP_211P_NOC_NB,XA:1868,1997,52007.41
ARG,GDP_211P_NOC_NB,XA:1868,1998,51683.41
ARG,GDP_211P_NOC_NB,XA:1868,1999,50110.64
ARG,GDP_211P_NOC_NB,XA:1868,2000,49520.28
ARG,GDP_211P_NOC_NB,XA:1868,2001,48077.88
ARG,GDP_211P_NOC_NB,XA:1868,2002,43838.59
ARG,GDP_211P_NOC_NB,XA:1868,2003,44297.6
ARG,GDP_211P_NOC_NB,XA:1868,2004,46195.7
ARG,GDP_211P_NOC_NB,XA:1868,2005,48727.75
ARG,GDP_211P_NOC_NB,XA:1868,2006,50906.49
ARG,GDP_211P_NOC_NB,XA:1868,2007,54451.8
ARG,GDP_211P_NOC_NB,XA:1868,2008,56200.43
