ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,Time-related underemployment by sex and age (thousands),AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 15-24",2012,340.018,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment by sex and age (thousands),AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 15-24",2012,241.55,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment by sex and age (thousands),AFG - HIES - Living Condition Survey,Sex: Female,"Age (Youth, adults): 15-24",2012,98.468,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment by sex and age (thousands),AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 15-24",2017,449.711,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment by sex and age (thousands),AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 15-24",2017,316.624,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment by sex and age (thousands),AFG - HIES - Living Condition Survey,Sex: Female,"Age (Youth, adults): 15-24",2017,133.087,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2007,15.3676,Break in series,,Working time concept: Hours actually worked | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15-24",2007,11.4064,Break in series,,Working time concept: Hours actually worked | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 15-24",2007,3.9613,Break in series,,Working time concept: Hours actually worked | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2008,22.9721,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15-24",2008,11.8319,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 15-24",2008,11.1402,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2009,19.4228,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15-24",2009,11.7005,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 15-24",2009,7.7223,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2010,23.8738,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15-24",2010,15.3519,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 15-24",2010,8.522,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2011,18.9743,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15-24",2011,14.1068,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 15-24",2011,4.8675,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2013,16.4609,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15-24",2013,10.6576,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 15-24",2013,5.8034,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2014,22.101,,,Time-related underemployment concept: Two criteria (worked less than a threshold and willing to work more hours) | Threshold used to define time-related underemployment: Less than 35 hours per week | Working time concept: Hours actually worked,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15-24",2014,12.972,,,Time-related underemployment concept: Two criteria (worked less than a threshold and willing to work more hours) | Threshold used to define time-related underemployment: Less than 35 hours per week | Working time concept: Hours actually worked,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 15-24",2014,9.129,,,Time-related underemployment concept: Two criteria (worked less than a threshold and willing to work more hours) | Threshold used to define time-related underemployment: Less than 35 hours per week | Working time concept: Hours actually worked,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Albania,Time-related underemployment by sex and age (thousands),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2015,20.597426569,,,Time-related underemployment concept: Two criteria (worked less than a threshold and willing to work more hours) | Threshold used to define time-related underemployment: Less than 35 hours per week | Working time concept: Hours actually worked,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 74 years old
