"SDG_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","NAM","Namibia","2001","2001",92.42438,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","NAM","Namibia","2007","2007",87.09541,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","NAM","Namibia","2011","2011",94.41944,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","NAM","Namibia","2018","2018",95.1649,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SYR","Syrian Arab Republic","2002","2002",97.14407,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SYR","Syrian Arab Republic","2004","2004",94.60731,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","EGY","Egypt","2005","2005",90.07912,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","EGY","Egypt","2006","2006",87.8568,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","EGY","Egypt","2010","2010",90.55763,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","EGY","Egypt","2012","2012",92.35576,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","EGY","Egypt","2013","2013",93.64928,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","EGY","Egypt","2017","2017",89.48338,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","TTO","Trinidad and Tobago","2000","2000",99.4,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","TTO","Trinidad and Tobago","2010","2010",99.6,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2001","2001",99.12767,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2006","2006",99.50357,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2009","2009",99.69673,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2010","2010",99.58867,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2011","2011",99.71145,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2012","2012",99.61428,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2013","2013",99.59812,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2014","2014",99.4024,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2015","2015",99.6435,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2016","2016",99.62893,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2018","2018",99.75765,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","ARM","Armenia","2001","2001",99.75235,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","ARM","Armenia","2011","2011",99.81842,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","ARM","Armenia","2017","2017",99.82128,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","AGO","Angola","2001","2001",63.18212,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","AGO","Angola","2014","2014",70.58513,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2004","2004",98.54216,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2006","2006",96.27236,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2008","2008",99.38241,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2009","2009",99.39659,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2011","2011",98.7518,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2014","2014",99.67883,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2015","2015",99.63702,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2016","2016",99.65351,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2018","2018",99.69625,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARE","United Arab Emirates","2005","2005",97.00174,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARE","United Arab Emirates","2015","2015",99.11,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","ALB","Albania","2001","2001",99.43515,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","ALB","Albania","2008","2008",98.83121,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","ALB","Albania","2011","2011",98.79119,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","ALB","Albania","2012","2012",99.2314,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","ALB","Albania","2018","2018",99.33,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SUR","Suriname","2004","2004",95.61588,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SUR","Suriname","2008","2008",99.37586,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SUR","Suriname","2010","2010",97.97273,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SUR","Suriname","2012","2012",98.08572,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SUR","Suriname","2018","2018",98.87544,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","NCL","New Caledonia","2014","2014",99.3,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BFA","Burkina Faso","2003","2003",38.38109,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BFA","Burkina Faso","2005","2005",40.37981,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BFA","Burkina Faso","2006","2006",39.82187,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BFA","Burkina Faso","2007","2007",46.73374,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BFA","Burkina Faso","2014","2014",56.99489,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BFA","Burkina Faso","2018","2018",61.79,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","LBR","Liberia","2007","2007",49.07411,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","LBR","Liberia","2017","2017",55.3987,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","IND","India","2001","2001",76.4257,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","IND","India","2006","2006",81.13086,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","IND","India","2011","2011",86.14488,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","IND","India","2018","2018",91.66404,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","CHL","Chile","2002","2002",98.99098,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","CHL","Chile","2008","2008",99.15358,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","CHL","Chile","2009","2009",98.87238,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","CHL","Chile","2010","2010",98.84012,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","CHL","Chile","2011","2011",99.40819,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","CHL","Chile","2013","2013",99.04828,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","CHL","Chile","2015","2015",99.35394,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","CHL","Chile","2017","2017",99.00866,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PRT","Portugal","2001","2001",98.75477,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PRT","Portugal","2011","2011",99.3918,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","PRT","Portugal","2018","2018",99.62657,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BRB","Barbados","2004","2004",99.92,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BRB","Barbados","2014","2014",99.92,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PRY","Paraguay","2002","2002",97.04389,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PRY","Paraguay","2007","2007",98.79446,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PRY","Paraguay","2008","2008",97.96424,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PRY","Paraguay","2009","2009",98.49729,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PRY","Paraguay","2010","2010",98.61045,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PRY","Paraguay","2012","2012",98.17792,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PRY","Paraguay","2013","2013",98.89913,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PRY","Paraguay","2014","2014",98.7138,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PRY","Paraguay","2015","2015",98.6536,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PRY","Paraguay","2016","2016",98.4506,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","PRY","Paraguay","2018","2018",98.28152,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KAZ","Kazakhstan","2009","2009",99.80391,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KAZ","Kazakhstan","2010","2010",99.94014,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","KAZ","Kazakhstan","2018","2018",99.94014,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BTN","Bhutan","2005","2005",74.40521,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BTN","Bhutan","2012","2012",86.05901,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","BTN","Bhutan","2017","2017",93.09063,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","CYP","Cyprus","2001","2001",99.81524,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","CYP","Cyprus","2011","2011",99.83831,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","DZA","Algeria","2002","2002",86.13399,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","DZA","Algeria","2006","2006",89.13824,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","DZA","Algeria","2008","2008",91.73993,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","DZA","Algeria","2018","2018",97.25216,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","MLT","Malta","2005","2005",99.11073,,
