ref_area.label,indicator.label,source.label,sex.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Aruba,"Share of youth not in employment, education or training (NEET) by sex (%)",ABW - PC - Population and Housing Census,Sex: Total,2010,16.56,,,Data reference period: September
Aruba,"Share of youth not in employment, education or training (NEET) by sex (%)",ABW - PC - Population and Housing Census,Sex: Male,2010,17.4,,,Data reference period: September
Aruba,"Share of youth not in employment, education or training (NEET) by sex (%)",ABW - PC - Population and Housing Census,Sex: Female,2010,15.64,,,Data reference period: September
Afghanistan,"Share of youth not in employment, education or training (NEET) by sex (%)",AFG - HIES - Living Conditions Survey,Sex: Total,2014,9.49,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Share of youth not in employment, education or training (NEET) by sex (%)",AFG - HIES - Living Conditions Survey,Sex: Male,2014,5.8,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Share of youth not in employment, education or training (NEET) by sex (%)",AFG - HIES - Living Conditions Survey,Sex: Female,2014,13.26,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Share of youth not in employment, education or training (NEET) by sex (%)",AFG - HIES - Living Conditions Survey,Sex: Total,2017,42.01,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Share of youth not in employment, education or training (NEET) by sex (%)",AFG - HIES - Living Conditions Survey,Sex: Male,2017,18.25,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Share of youth not in employment, education or training (NEET) by sex (%)",AFG - HIES - Living Conditions Survey,Sex: Female,2017,65.89,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Share of youth not in employment, education or training (NEET) by sex (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Total,2004,30.96,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Angola,"Share of youth not in employment, education or training (NEET) by sex (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Male,2004,22.37,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Angola,"Share of youth not in employment, education or training (NEET) by sex (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,2004,38.34,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Angola,"Share of youth not in employment, education or training (NEET) by sex (%)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Total,2009,25.81,,,Repository: ILO-STATISTICS - Micro data processing
