ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Total,"Age (Youth, adults): 15-24",2012,17.69,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Total,"Age (Youth, adults): 25+",2012,17.96,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Male,"Age (Youth, adults): 15-24",2012,15.53,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Male,"Age (Youth, adults): 25+",2012,16.31,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Female,"Age (Youth, adults): 15-24",2012,26.89,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Female,"Age (Youth, adults): 25+",2012,26.98,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Total,"Age (Youth, adults): 15-24",2014,17.35,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Total,"Age (Youth, adults): 25+",2014,19.89,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Male,"Age (Youth, adults): 15-24",2014,17.56,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Male,"Age (Youth, adults): 25+",2014,19.64,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Female,"Age (Youth, adults): 15-24",2014,16.83,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Female,"Age (Youth, adults): 25+",2014,20.81,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Total,"Age (Youth, adults): 15-24",2017,24.47,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Total,"Age (Youth, adults): 25+",2017,19.58,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Male,"Age (Youth, adults): 15-24",2017,22.68,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Male,"Age (Youth, adults): 25+",2017,18.75,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Female,"Age (Youth, adults): 15-24",2017,30.14,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Female,"Age (Youth, adults): 25+",2017,22.83,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2007,11.33,Break in series,,Working time concept: Hours actually worked | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",2007,7.08,Break in series,,Working time concept: Hours actually worked | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15-24",2007,13.79,Break in series,,Working time concept: Hours actually worked | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 25+",2007,8.88,Break in series,,Working time concept: Hours actually worked | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 15-24",2007,7.49,Break in series,,Working time concept: Hours actually worked | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 25+",2007,4.15,Break in series,,Working time concept: Hours actually worked | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2008,18.46,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
