ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Aruba,Unemployment rate by sex and age (%),ABW - PC - Population and Housing Census,Sex: Total,"Age (Youth, adults): 15-24",2010,28.86,,Nonstandard age group: Including age 14,,Data reference period: September | Age coverage - minimum age: 14 years old
Aruba,Unemployment rate by sex and age (%),ABW - PC - Population and Housing Census,Sex: Total,"Age (Youth, adults): 25+",2010,8.81,,,,Data reference period: September | Age coverage - minimum age: 14 years old
Aruba,Unemployment rate by sex and age (%),ABW - PC - Population and Housing Census,Sex: Male,"Age (Youth, adults): 15-24",2010,29.88,,Nonstandard age group: Including age 14,,Data reference period: September | Age coverage - minimum age: 14 years old
Aruba,Unemployment rate by sex and age (%),ABW - PC - Population and Housing Census,Sex: Male,"Age (Youth, adults): 25+",2010,8.63,,,,Data reference period: September | Age coverage - minimum age: 14 years old
Aruba,Unemployment rate by sex and age (%),ABW - PC - Population and Housing Census,Sex: Female,"Age (Youth, adults): 15-24",2010,27.52,,Nonstandard age group: Including age 14,,Data reference period: September | Age coverage - minimum age: 14 years old
Aruba,Unemployment rate by sex and age (%),ABW - PC - Population and Housing Census,Sex: Female,"Age (Youth, adults): 25+",2010,8.98,,,,Data reference period: September | Age coverage - minimum age: 14 years old
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Total,"Age (Youth, adults): 15-24",2008,4.05,Break in series,,Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Total,"Age (Youth, adults): 25+",2008,1.88,Break in series,,Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Male,"Age (Youth, adults): 15-24",2008,4.09,Break in series,,Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Male,"Age (Youth, adults): 25+",2008,2.06,Break in series,,Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Female,"Age (Youth, adults): 15-24",2008,3.95,Break in series,,Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Female,"Age (Youth, adults): 25+",2008,1.54,Break in series,,Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Total,"Age (Youth, adults): 15-24",2012,2.93,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Total,"Age (Youth, adults): 25+",2012,1.15,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Male,"Age (Youth, adults): 15-24",2012,2.55,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Conditions Survey,Sex: Male,"Age (Youth, adults): 25+",2012,0.86,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
