ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2000,66.45
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2000,62.55
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 15-24",2000,65.67
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 25+",2000,60.99
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 15-24",2000,70.75
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 25+",2000,71.99
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2001,67.04
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2001,63.14
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 15-24",2001,66.25
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 25+",2001,61.58
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 15-24",2001,71.27
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 25+",2001,72.54
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2002,64.39
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2002,60.21
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 15-24",2002,63.56
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 25+",2002,58.59
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 15-24",2002,68.81
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 25+",2002,69.99
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2003,63.88
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2003,59.52
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 15-24",2003,63.02
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 25+",2003,57.87
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 15-24",2003,68.32
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 25+",2003,69.48
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2004,63.77
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2004,59.25
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 15-24",2004,62.89
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 25+",2004,57.57
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 15-24",2004,68.21
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 25+",2004,69.36
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2005,62.59
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2005,57.83
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 15-24",2005,61.68
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 25+",2005,56.09
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 15-24",2005,67.11
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 25+",2005,68.22
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2006,61.17
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2006,56.27
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 15-24",2006,60.24
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 25+",2006,54.5
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 15-24",2006,65.83
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 25+",2006,66.87
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2007,58.81
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2007,53.75
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 15-24",2007,57.85
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 25+",2007,51.95
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 15-24",2007,63.69
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 25+",2007,64.63
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2008,57.15
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2008,51.89
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 15-24",2008,56.17
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 25+",2008,50.03
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 15-24",2008,62.16
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 25+",2008,63.02
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2009,53.4
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2009,47.77
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 15-24",2009,52.4
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 25+",2009,45.83
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 15-24",2009,58.66
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 25+",2009,59.36
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2010,50.25
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2010,44.3
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 15-24",2010,49.21
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 25+",2010,42.3
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 15-24",2010,55.65
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 25+",2010,56.19
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2011,49.31
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2011,43.02
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 15-24",2011,48.24
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Male,"Age (Youth, adults): 25+",2011,40.94
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 15-24",2011,54.7
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Female,"Age (Youth, adults): 25+",2011,55.17
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2012,46.87
Afghanistan,SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%),AFG - ILO - ILO Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2012,40.16
