ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Aruba,Unemployment rate by sex and age (%),ABW - PC - Population and Housing Census Aruba,Sex: Total,"Age (Youth, adults): 15-24",2010,28.86,,Nonstandard age group: Including age 14,,Data reference period: September | Age coverage - minimum age: 14 years old
Aruba,Unemployment rate by sex and age (%),ABW - PC - Population and Housing Census Aruba,Sex: Total,"Age (Youth, adults): 25+",2010,8.81,,,,Data reference period: September | Age coverage - minimum age: 14 years old
Aruba,Unemployment rate by sex and age (%),ABW - PC - Population and Housing Census Aruba,Sex: Male,"Age (Youth, adults): 15-24",2010,29.88,,Nonstandard age group: Including age 14,,Data reference period: September | Age coverage - minimum age: 14 years old
Aruba,Unemployment rate by sex and age (%),ABW - PC - Population and Housing Census Aruba,Sex: Male,"Age (Youth, adults): 25+",2010,8.63,,,,Data reference period: September | Age coverage - minimum age: 14 years old
Aruba,Unemployment rate by sex and age (%),ABW - PC - Population and Housing Census Aruba,Sex: Female,"Age (Youth, adults): 15-24",2010,27.52,,Nonstandard age group: Including age 14,,Data reference period: September | Age coverage - minimum age: 14 years old
Aruba,Unemployment rate by sex and age (%),ABW - PC - Population and Housing Census Aruba,Sex: Female,"Age (Youth, adults): 25+",2010,8.98,,,,Data reference period: September | Age coverage - minimum age: 14 years old
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 15-24",2008,4.0487,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 25+",2008,1.8835,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 15-24",2008,4.0948,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 25+",2008,2.0638,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Female,"Age (Youth, adults): 15-24",2008,3.9516,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Female,"Age (Youth, adults): 25+",2008,1.5438,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 15-24",2012,2.9327,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 25+",2012,1.152,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 15-24",2012,2.5515,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Unemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 25+",2012,0.8646,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
