ref_area,indicator,source,time,obs_value
AFG,SDG_B821_NOC_RT,XA:2198,2001,-9.65
AFG,SDG_B821_NOC_RT,XA:2198,2002,56.78
AFG,SDG_B821_NOC_RT,XA:2198,2003,3.04
AFG,SDG_B821_NOC_RT,XA:2198,2004,-3.74
AFG,SDG_B821_NOC_RT,XA:2198,2005,6.21
AFG,SDG_B821_NOC_RT,XA:2198,2006,2.61
AFG,SDG_B821_NOC_RT,XA:2198,2007,11.49
AFG,SDG_B821_NOC_RT,XA:2198,2008,2.07
AFG,SDG_B821_NOC_RT,XA:2198,2009,19.43
AFG,SDG_B821_NOC_RT,XA:2198,2010,11.5
AFG,SDG_B821_NOC_RT,XA:2198,2011,-3.7
AFG,SDG_B821_NOC_RT,XA:2198,2012,7.49
AFG,SDG_B821_NOC_RT,XA:2198,2013,0.33
AFG,SDG_B821_NOC_RT,XA:2198,2014,-2.47
AFG,SDG_B821_NOC_RT,XA:2198,2015,-3.42
AFG,SDG_B821_NOC_RT,XA:2198,2016,-2
AFG,SDG_B821_NOC_RT,XA:2198,2017,-1.41
AFG,SDG_B821_NOC_RT,XA:2198,2018,-1.96
AFG,SDG_B821_NOC_RT,XA:2198,2019,-0.87
AGO,SDG_B821_NOC_RT,XA:2010,2001,0.83
AGO,SDG_B821_NOC_RT,XA:2010,2002,10.03
AGO,SDG_B821_NOC_RT,XA:2010,2003,-0.5
AGO,SDG_B821_NOC_RT,XA:2010,2004,7.12
AGO,SDG_B821_NOC_RT,XA:2010,2005,10.98
AGO,SDG_B821_NOC_RT,XA:2010,2006,7.6
AGO,SDG_B821_NOC_RT,XA:2010,2007,9.9
AGO,SDG_B821_NOC_RT,XA:2010,2008,7.12
AGO,SDG_B821_NOC_RT,XA:2010,2009,-2.74
AGO,SDG_B821_NOC_RT,XA:2010,2010,7.31
AGO,SDG_B821_NOC_RT,XA:2010,2011,-2.41
AGO,SDG_B821_NOC_RT,XA:2010,2012,4.75
AGO,SDG_B821_NOC_RT,XA:2010,2013,1.26
AGO,SDG_B821_NOC_RT,XA:2010,2014,1.06
AGO,SDG_B821_NOC_RT,XA:2010,2015,-2.67
AGO,SDG_B821_NOC_RT,XA:2010,2016,-6.02
AGO,SDG_B821_NOC_RT,XA:2010,2017,-3.68
AGO,SDG_B821_NOC_RT,XA:2010,2018,-5.47
AGO,SDG_B821_NOC_RT,XA:2010,2019,-4.33
ALB,SDG_B821_NOC_RT,XA:2137,2001,9.17
ALB,SDG_B821_NOC_RT,XA:2137,2002,4.95
ALB,SDG_B821_NOC_RT,XA:2137,2003,6.46
ALB,SDG_B821_NOC_RT,XA:2137,2004,6.53
ALB,SDG_B821_NOC_RT,XA:2137,2005,6.67
ALB,SDG_B821_NOC_RT,XA:2137,2006,6.73
ALB,SDG_B821_NOC_RT,XA:2137,2007,7.02
ALB,SDG_B821_NOC_RT,XA:2137,2008,5.29
ALB,SDG_B821_NOC_RT,XA:2137,2009,5.09
ALB,SDG_B821_NOC_RT,XA:2137,2010,4.62
ALB,SDG_B821_NOC_RT,XA:2137,2011,-8.64
ALB,SDG_B821_NOC_RT,XA:2137,2012,6.09
ALB,SDG_B821_NOC_RT,XA:2137,2013,11.07
ALB,SDG_B821_NOC_RT,XA:2137,2014,3.58
ALB,SDG_B821_NOC_RT,XA:2137,2015,-3.51
ALB,SDG_B821_NOC_RT,XA:2137,2016,-0.85
ALB,SDG_B821_NOC_RT,XA:2137,2017,0.42
ALB,SDG_B821_NOC_RT,XA:2137,2018,-1.72
ALB,SDG_B821_NOC_RT,XA:2137,2019,-0.69
ARE,SDG_B821_NOC_RT,XA:1978,2001,-5.59
ARE,SDG_B821_NOC_RT,XA:1978,2002,-4.91
ARE,SDG_B821_NOC_RT,XA:1978,2003,-0.57
ARE,SDG_B821_NOC_RT,XA:1978,2004,-2.81
ARE,SDG_B821_NOC_RT,XA:1978,2005,-9.68
ARE,SDG_B821_NOC_RT,XA:1978,2006,-7.5
ARE,SDG_B821_NOC_RT,XA:1978,2007,-14.05
ARE,SDG_B821_NOC_RT,XA:1978,2008,-12.81
ARE,SDG_B821_NOC_RT,XA:1978,2009,-17.36
ARE,SDG_B821_NOC_RT,XA:1978,2010,-7.72
ARE,SDG_B821_NOC_RT,XA:1978,2011,2.54
ARE,SDG_B821_NOC_RT,XA:1978,2012,2.68
ARE,SDG_B821_NOC_RT,XA:1978,2013,4.85
ARE,SDG_B821_NOC_RT,XA:1978,2014,4.39
