Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698650000,652130000,728180000,825530000,807810000,979480000,882000000,780000000,776000000,1009000000,1009000000,994000000,1023000000,1118000000,796000000,530000000,572000000,429000000,641000000,783000000,1094000000,1160000000,1232000000,,,
Afghanistan,AFG,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,3200002000,3200002100,3600001000,2200002600,1700003800,499998700,-1000001500,-1699995700,99999700,1000001500,2599993300,200007600,2299994100,4299997200,7699996600,8699994100,13799997400,12300001200,16100008000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52540966100,60976840400,2.61906E+11,4.67688E+11,8.67196E+11,1.67621E+12,2.34111E+12,2.67749E+12,3.61328E+12,2.11322E+12,3.63209E+12,5.01753E+12,5.71489E+12,5.38689E+12,5.3797E+12,4.29992E+12,4.98035E+12,6.05472E+12,8.49918E+12,1.0382E+13,
Albania,ALB,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,,,,,,,,,,,,,,,,,,,,,4885070300,5322160300,4952879600,5014720400,4348759900,4563289700,4692310100,4279769800,3835690200,4751720200,2942535300,-2707539600,-42529856700,-46565747800,-28132025700,-12013895000,-12006870000,-27737760000,-21014590000,10677640000,37954990000,62905810000,52687270000,58089520000,85455550000,96687210000,1.03416E+11,74882760000,70539050000,92330450000,1.33056E+11,1.3951E+11,1.49119E+11,1.20764E+11,1.08287E+11,1.17536E+11,1.14406E+11,1.37907E+11,1.60596E+11,1.38162E+11,
Andorra,AND,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17453E+11,1.14863E+11,1.44652E+11,1.65534E+11,2.37366E+11,3.0227E+11,3.14178E+11,3.97628E+11,3.4898E+11,5.07946E+11,6.65142E+11,7.99664E+11,7.8908E+11,7.81682E+11,6.8602E+11,6.72383E+11,7.0072E+11,7.73416E+11,7.39439E+11,
Argentina,ARG,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,0.027568899,0.049874194,0.044233933,0.045590863,0.086630076,0.118070006,0.133509994,0.189819992,0.210699976,0.26244992,0.303719938,0.39139998,0.673860073,1.07806015,1.491219997,5.682199478,34.77809906,94.34500122,217.4950256,503.0899658,915.3999023,1662.299805,5315.5,26500,180310,1222900,1926900,4632000,24389000,713479936,13595000832,29367009300,34376007700,40876713000,43484681200,46677313000,51639312000,54505788900,55161538900,45745085000,47984383900,45495038800,80852970700,95346199800,1.19115E+11,1.44637E+11,1.73968E+11,2.19576E+11,2.67774E+11,2.63537E+11,3.42351E+11,4.37782E+11,4.86726E+11,5.76117E+11,8.08989E+11,9.52471E+11,1.36781E+12,1.65911E+12,2.58484E+12,4.20683E+12,
Armenia,ARM,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16640000,19290000,-39360000,-446570000,-10906991900,-91136009200,-77057977500,-1.18524E+11,-1.06526E+11,-81712308500,-1.33711E+11,-1.02934E+11,-39096300000,48795300000,74031500000,2.43709E+11,3.91123E+11,4.80105E+11,5.46364E+11,99555100000,58802900000,3196200000,1.36962E+11,58149500000,1.14292E+11,4.52543E+11,5.19002E+11,4.25765E+11,5.24229E+11,2.68564E+11,
American Samoa,ASM,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433570000,386060000,277860000,257470000,382070000,478320000,445940000,551200000,330900000,360230000,343670000,426670000,374200000,403090000,379250000,506390000,869890000,443090000,345420000,257060000,252710000,1122780000,1325770000,1287180000,1041740000,1189150000,,
Australia,AUS,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,5173000000,5376000000,5138000000,5746000000,6626000000,7200000000,7162000000,8461000000,8628000000,10402000000,12041000000,12733000000,13759000000,15372000000,19278000000,19396000000,21865000000,24756000000,25438000000,30723000000,36020000000,39727000000,45863000000,42002000000,52925000000,60660000000,64077000000,69179000000,85985000000,1.03362E+11,1.1145E+11,1.02006E+11,93049000000,1.01254E+11,1.11548E+11,1.19088E+11,1.2872E+11,1.39886E+11,1.45917E+11,1.47392E+11,1.59659E+11,1.66156E+11,1.84679E+11,1.91513E+11,2.10592E+11,2.28914E+11,2.56961E+11,2.81723E+11,3.07484E+11,3.47898E+11,3.35994E+11,3.89195E+11,4.1226E+11,4.08654E+11,4.20702E+11,4.02024E+11,3.83567E+11,4.34419E+11,4.60475E+11,5.02002E+11,
Austria,AUT,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,,,,,,,,,,,8921322000,9869889000,11569776000,13117777000,14707722000,13478097000,14394668000,15478676000,17167558000,19184737000,20068662000,20206014000,21209699000,21451147000,23563801000,24760201000,26721393000,27909625000,30167169000,33104459000,35961341000,39009898000,39609726000,39710448000,42002980000,44985520000,45500550000,48382890000,51330640000,54070280000,57489140000,59349200000,62627430000,62456750000,66031870000,68203900000,73722590000,83033650000,84904810000,74413930000,76949510000,82877830000,85015020000,85580940000,89285490000,94865030000,1.00442E+11,1.03441E+11,1.10778E+11,1.14712E+11,
Azerbaijan,AZE,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87400,159300,888900,1308800,-4067200,61000000,8200000,408100000,166500000,325100000,964300000,1321300000,1497100000,1975900000,2668900000,5942800000,10189900000,16148000000,23307400000,16419400000,21128900000,27402300000,27373500000,27819000000,25775300000,16804300000,17196700000,21855500000,28346900000,26510200000,
Burundi,BDI,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,524999700,524999700,437499900,-87499800,962500600,480300000,658900000,899600000,820500000,974100000,764300000,414100000,-34300000,729500000,-469900000,-1043000000,2383200000,5667300000,3030600000,4476700000,-494100000,3586100000,-2040900000,7171500000,7471400000,5691805300,1442818500,9253127400,2541742400,5770974500,-10402000000,-8853087200,-22761849100,-14218511400,-26260579600,-19960475900,-4533934100,5116000000,-18685000000,-11400000000,-44758000000,-44683000000,-64175000000,-57295000000,-73793000000,-54370980000,-1.21651E+11,-1.46922E+11,-2.44454E+11,-79445300000,-73521300000,-2.55287E+11,-2.68448E+11,-5.25365E+11,-4.77091E+11,1.05619E+11,-50795000000,-75756000000,-2.23345E+11,-2.87487E+11,
Belgium,BEL,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,,,,,,,,,,,10602805000,11105924000,12241658000,13600570000,16090108000,15729872000,17890283000,18309168000,19242574000,19336680000,20621282000,18925742000,19990170000,20973856000,24061544000,25259828000,27775149000,29577391000,35586480000,40636547000,43523533000,43387794000,46585715000,48266064000,51960369000,53971400000,53149100000,58680000000,60454800000,64563200000,68318200000,69469600000,71934200000,74018000000,81807100000,85935200000,91084800000,98750700000,93597300000,84661500000,90164900000,91766000000,91727600000,91250500000,96539400000,1.04367E+11,1.09441E+11,1.13461E+11,1.16318E+11,1.21758E+11,
Benin,BEN,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,3013263800,3306325500,2208903700,1753256000,1395166700,809459700,-425115600,-211894300,2126864300,2586239000,2128003100,220356600,980262900,3134021700,4076298300,605421600,-2311487500,-1568047100,-4100309000,-1219362900,-18850316300,-43334172700,22034612300,-2053275700,6557728700,-19055116300,-11452416000,-12941787100,-12769853500,2432794600,35768016000,28794407600,19964419100,36100774700,89220895200,1.33828E+11,1.69471E+11,1.87807E+11,1.84632E+11,2.23037E+11,2.46765E+11,2.47911E+11,3.06054E+11,3.3614E+11,4.02911E+11,3.4481E+11,3.38619E+11,4.43735E+11,4.47294E+11,4.58872E+11,4.86964E+11,5.51534E+11,7.01539E+11,9.15192E+11,1.10531E+12,9.03305E+11,1.15577E+12,1.24606E+12,1.51504E+12,1.78844E+12,
Burkina Faso,BFA,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,3593593800,4507820000,5107526700,5471999000,7752395700,9028214800,8577818600,6294954000,6909255700,7243407400,8365318200,10369310700,14539620300,17870143500,32011993100,17591959600,28749283300,14243872800,19849642000,12148637700,2277081100,-1471873000,15593570300,22011248600,28413788100,12893945800,1100021800,17807966300,20699938800,45999980500,45800030200,73800024000,76599984200,70099992600,1.71944E+11,1.36102E+11,1.04419E+11,1.65727E+11,1.46462E+11,-26083674600,-60352575000,-563298700,-3269415300,97097782700,51757514100,99655867900,1.00297E+11,1.88645E+11,2.37969E+11,3.23211E+11,6.97749E+11,9.68762E+11,1.06525E+12,9.182E+11,9.84664E+11,8.76709E+11,1.12056E+12,1.28586E+12,1.66649E+12,1.58953E+12,
