ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 15-24",2012,17.6931,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 25+",2012,17.9617,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 15-24",2012,15.5286,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 25+",2012,16.3123,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Female,"Age (Youth, adults): 15-24",2012,26.8863,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Female,"Age (Youth, adults): 25+",2012,26.9838,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 15-24",2017,24.4715,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 25+",2017,19.5842,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 15-24",2017,22.6797,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 25+",2017,18.745,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Female,"Age (Youth, adults): 15-24",2017,30.1353,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Time-related underemployment rate by sex and age (%),AFG - HIES - Living Condition Survey,Sex: Female,"Age (Youth, adults): 25+",2017,22.8296,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2007,11.3334,Break in series,,Working time concept: Hours actually worked | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",2007,7.0849,Break in series,,Working time concept: Hours actually worked | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15-24",2007,13.7913,Break in series,,Working time concept: Hours actually worked | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 25+",2007,8.8812,Break in series,,Working time concept: Hours actually worked | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 15-24",2007,7.4898,Break in series,,Working time concept: Hours actually worked | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 25+",2007,4.146,Break in series,,Working time concept: Hours actually worked | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2008,18.4622,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",2008,7.9079,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15-24",2008,16.9884,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 25+",2008,8.3751,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 15-24",2008,20.336,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 25+",2008,7.3278,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2009,12.4247,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",2009,7.0071,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15-24",2009,13.593,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 25+",2009,7.3078,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 15-24",2009,10.9931,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 25+",2009,6.6006,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2010,16.8785,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",2010,9.1099,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15-24",2010,17.8156,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 25+",2010,9.9391,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 15-24",2010,15.4176,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 25+",2010,8.0156,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2011,10.6274,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",2011,6.0731,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15-24",2011,13.4569,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 25+",2011,6.7378,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 15-24",2011,6.6033,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 25+",2011,5.2475,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",2012,,Unreliable,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 25+",2012,,Unreliable,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 25+",2012,,Unreliable,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2013,16.5734,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",2013,9.5517,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15-24",2013,17.5401,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 25+",2013,11.2257,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 15-24",2013,15.05,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 25+",2013,7.5606,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2014,23.1514,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",2014,13.6457,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15-24",2014,23.1241,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 25+",2014,13.4297,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 15-24",2014,23.1947,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Female,"Age (Youth, adults): 25+",2014,13.9211,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",2015,20.4078,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
Albania,Time-related underemployment rate by sex and age (%),ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",2015,12.5781,,,Working time concept: Hours actually worked,Repository: ILO-STATISTICS - Micro data processing
